item,스트레스,기쁨,친구,어색한 사이,연인,매콤,담백,느끼
떡볶이,5,3,5,2,4,5,1,1
회,2,5,4,1,3,1,5,1
마라탕,5,3,5,1,3,5,1,2
초밥,2,5,4,4,5,1,5,2
돈까스,3,3,4,4,3,2,3,4
삼겹살,4,4,5,2,4,2,2,5
짬뽕,5,2,4,2,2,5,1,2
김밥,1,2,3,3,2,1,4,1
치킨,4,5,5,3,4,3,2,4
김치찌개,4,3,4,2,3,4,2,2
된장찌개,2,3,4,2,3,2,5,1
샌드위치,1,2,3,3,3,1,4,2
샐러드,1,2,3,4,3,1,5,1
곱창,5,4,5,1,4,3,1,5
라면,5,2,4,1,2,4,2,2
파스타,2,4,4,4,5,2,3,4
햄버거,3,3,4,3,3,2,2,4
족발,4,4,5,2,4,3,3,3
닭발,5,3,5,1,3,5,1,2
샤브샤브,2,4,4,4,4,2,5,1
카레,2,3,3,3,3,3,3,2
우동,2,2,3,3,3,1,5,1
스테이크,3,5,4,4,5,1,3,4
짜장면,3,3,4,2,3,1,2,4
